Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSMU,Dow Jones U.S. Multiutilities Index,305.68,249.55,314.85,22.49248647565618,60.31227305737114,🟡,CERCA,251,2026-03-20 08:54:34,2026-03-20,0,58,58,False,0,0,[],[],BAJA,MEDIO,0
DJUSTY,Dow Jones U.S. Toys Index,1399.12,1149.53,2066.13,21.712352004732363,80.42165367299879,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,58,58,False,0,0,[],[],BAJA,ALTO,0
DJUSAG,Dow Jones U.S. Asset Managers Index,332.57,273.77,426.58,21.477882894400416,64.6023805416595,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,58,58,False,0,0,[],[],BAJA,MEDIO,0
DJUSWC,Dow Jones U.S. Mobile Telecommunications Index,427.64,349.48,451.05,22.364656060432637,60.93687173301165,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,58,58,False,0,0,[],[],BAJA,MEDIO,0
DJUSPL,Dow Jones U.S. Pipelines Index,1300.68,925.07,1320.25,40.603413795712754,31.036707771723457,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,57,57,False,0,0,[],[],BAJA,MEDIO,0
DJUSCC,Dow Jones U.S. Commodity Chemicals Index,792.4,608.9,808.72,30.136311381179176,46.15384615384613,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,55,55,False,0,0,[],[],BAJA,BAJO,0
DJUSPB,Dow Jones U.S. Publishing Index,869.84,663.16,885.56,31.16593280656253,46.55001241002727,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,55,55,False,0,0,[],[],BAJA,BAJO,0
DJUSOG,Dow Jones U.S. Oil & Gas Producers,1139.8,707.01,1147.73,61.214127098626605,23.348236462990613,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,55,55,False,0,0,[],[],BAJA,MEDIO,0
DJUSEN,Dow Jones U.S. Oil & Gas Index,993.35,623.85,999.6,59.228981325639175,25.549132947976844,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,55,55,False,0,0,[],[],BAJA,MEDIO,0
DJUSOS,Dow Jones U.S. Exploration & Production Index,1368.89,821.29,1387.64,66.67559570918922,14.658728670541876,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,52,52,False,0,0,[],[],BAJA,MEDIO,0
DJUSRB,Dow Jones U.S. Broadline Retailers Index,4652.8,3641.4,5214.8,27.77503158125996,58.427526595744645,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,50,50,False,0,0,[],[],BAJA,BAJO,0
DJUSOL,Dow Jones U.S. Integrated Oil & Gas Index,1016.72,645.42,1023.4,57.528431099129264,31.953517156020084,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,50,50,False,0,0,[],[],BAJA,MEDIO,0
DJUSGU,Dow Jones U.S. Gas Distribution Index,414.9,324.1,425.75,28.01604443073124,53.99239543726238,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,50,50,False,0,0,[],[],BAJA,BAJO,0
DJUSSV,Dow Jones U.S. Software & Computer Services Index,7376.9,5509.7,8975.6,33.889322467647965,51.87413814717315,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,47,47,False,0,0,[],[],BAJA,BAJO,0
DJUSID,Dow Jones U.S. Diversified Industrials Index,976.73,767.22,1097.69,27.3076822814838,76.47390691114249,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,44,44,False,0,0,[],[],BAJA,ALTO,0
DJUSRA,Dow Jones U.S. Apparel Retailers Index,2157.47,1507.8,2243.06,43.08727948003713,58.675530392188094,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,44,44,False,0,0,[],[],BAJA,MEDIO,0
DJUSRR,Dow Jones U.S. Railroads Index,3526.6,2788.9,4019.5,26.45128903868908,86.09843546284228,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,44,44,False,0,0,[],[],BAJA,ALTO,0
DJUSBT,Dow Jones U.S. Biotechnology Index,2934.4,2297.4,3319.4,27.726995734308343,79.4188861985472,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,44,44,False,0,0,[],[],BAJA,ALTO,0
DJUSFH,Dow Jones U.S. Furnishings Index,406.27,319.67,545.94,27.090437013169826,92.25051105742423,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,44,44,False,0,0,[],[],BAJA,ALTO,0
DJUSDR,Dow Jones U.S. Food & Drug Retailers Index,1697.5,1341.74,1812.26,26.514824034462716,78.26554766516028,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,44,44,False,0,0,[],[],BAJA,ALTO,0
DJUSFR,Dow Jones U.S. Forestry & Paper Index,900.47,703.58,946.63,27.98402456010688,68.45765456797184,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,44,44,False,0,0,[],[],BAJA,MEDIO,0
DJUSDT,Dow Jones U.S. Diversified REITs Index,59.65,46.63,65.07,27.921938666094785,90.51878354203936,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,44,44,False,0,0,[],[],BAJA,ALTO,0
DJUSAT,Dow Jones U.S. Auto Parts Index,371.38,288.25,490.7,28.839549002601903,91.80124223602483,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,43,43,False,0,0,[],[],BAJA,ALTO,0
DJUSRL,Dow Jones U.S. Retail REITs Index,107.53,83.32,114.2,29.056649063850227,80.82788671023961,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,43,43,False,0,0,[],[],BAJA,ALTO,0
DJUSUT,Dow Jones U.S. Utilities Index,457.13,353.79,470.38,29.20941801633737,66.52828230409956,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,43,43,False,0,0,[],[],BAJA,MEDIO,0
DJUSMS,Dow Jones U.S. Medical Supplies Index,1934.71,1493.05,2141.29,29.581058906265707,81.6897895557288,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,43,43,False,0,0,[],[],BAJA,ALTO,0
DJUSMT,Dow Jones U.S. Marine Transportation Index,427.19,261.01,442.12,63.66805869506916,49.35868071461291,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,42,42,False,0,0,[],[],BAJA,MEDIO,0
DJUSEU,Dow Jones U.S. Electricity Index,454.21,340.99,471.47,33.20331974544707,69.87328678562196,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,42,42,False,0,0,[],[],BAJA,MEDIO,0
DJUSVE,Dow Jones U.S. Conventional Electricity Index,455.13,341.92,472.89,33.11008423022928,70.05926307652666,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,42,42,False,0,0,[],[],BAJA,ALTO,0
DJUSCX,Dow Jones U.S. Specialty Chemicals Index,1161.71,863.05,1301.27,34.60517930594984,81.53297498449444,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,41,41,False,0,0,[],[],BAJA,ALTO,0
DJUSIO,Dow Jones U.S. Industrial & Office REITs Index,107.66,79.12,117.63,36.07178968655206,81.51935719503288,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,41,41,False,0,0,[],[],BAJA,ALTO,0
DJUSIT,Dow Jones U.S. Industrial Transportation Index,1667.4,1243.5,1896.5,34.08926417370326,88.09523809523816,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,41,41,False,0,0,[],[],BAJA,ALTO,0
DJUSPN,Dow Jones U.S. Pharmaceuticals & Biotechnology Index,1287.33,960.01,1403.97,34.09547817210237,83.21534596939938,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,41,41,False,0,0,[],[],BAJA,ALTO,0
DJUSSB,Dow Jones U.S. Investment Services Index,2785.4,2060.8,3276.0,35.16110248447204,64.89940184883085,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,41,41,False,0,0,[],[],BAJA,MEDIO,0
DJUSDS,Dow Jones U.S. Industrial Suppliers Index,938.07,683.22,1090.53,37.30130850970405,80.25279147537256,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,40,40,False,0,0,[],[],BAJA,ALTO,0
DJUSFE,Dow Jones U.S. Industrial Machinery Index,1329.27,969.18,1509.14,37.154089023710775,88.37043451683566,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,40,40,False,0,0,[],[],BAJA,ALTO,0
DJUSDN,Dow Jones U.S. Defense Index,910.11,598.11,973.44,52.16431760044139,59.251453488372114,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,40,40,False,0,0,[],[],BAJA,MEDIO,0
DJUSPR,Dow Jones U.S. Pharmaceuticals Index,1074.24,765.56,1173.03,40.32081090966091,83.62153116720123,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,39,39,False,0,0,[],[],BAJA,ALTO,0
DJUSHL,Dow Jones U.S. Hotel & Lodging REITs Index,101.63,65.02,111.31,56.30575207628422,57.88519637462236,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,38,38,False,0,0,[],[],BAJA,MEDIO,0
DJUSRD,Dow Jones U.S. Drug Retailers Index,1414.7,989.79,1589.16,42.92930823710081,78.47905006806839,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,38,38,False,0,0,[],[],BAJA,ALTO,0
DJUSAF,Dow Jones U.S. Delivery Services Index,1313.0,916.9,1512.7,43.19991274948195,88.2181110029211,🔴,FUERTE,251,2026-03-20 08:54:34,2026-03-20,0,38,38,False,0,0,[],[],BAJA,ALTO,0
DJUSCN,Dow Jones U.S. Construction & Materials Index,2112.06,1484.39,2404.73,42.28470954398775,80.35330756013755,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,38,38,False,0,0,[],[],BAJA,ALTO,0
DJUSIG,Dow Jones U.S. Industrial Goods & Services Index,1568.39,1094.74,1716.89,43.26598096351646,78.50920910075841,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,38,38,False,0,0,[],[],BAJA,ALTO,0
DJUSBK,Dow Jones U.S. Banks Index,743.03,521.55,873.98,42.46572715942863,76.17631851085828,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,38,38,False,0,0,[],[],BAJA,ALTO,0
DJUSTK,Dow Jones U.S. Trucking Index,1788.42,1244.48,2143.06,43.70821547955773,72.65884357968365,🔴,FUERTE,252,2026-03-20 08:54:34,2026-03-20,0,38,38,False,0,0,[],[],BAJA,ALTO,0
