ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
SEI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
SGE.L,BEST,5,Mejor FCF en Technology (5.8% vs media sector 4.5%),2026-04-14
SGO.PA,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Industrials (8.2% vs media sector 5.8%),2026-04-14
SHBI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
SHEL.L,BEST,5,Mejor FCF en Energy (12.2% vs media sector 6.7%),2026-04-14
SIE.DE,CAUTION,-8,Señal salida MEDIUM: Score cayó 18pts (51 → 33),2026-04-14
SIKA.SW,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Basic Materials (5.3% vs media sector 3.8%),2026-04-14
SPGI,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
SRT3.DE,WATCH,0,Caro vs peers en Healthcare (FCF rank 20/23) | Piotroski fuerte (8.0/9),2026-04-14
STRW,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
STZ,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
SUNS,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
SXYAY,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
TBBK,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
TCBI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
TEP.PA,BEST,5,Mejor FCF en Industrials (35.5% vs media sector 5.8%),2026-04-14
THFF,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
THRY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
TJX,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
TNE.AX,WATCH,-3,Caro vs peers en Technology (FCF rank 25/26),2026-04-14
TPC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
TSCO.L,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Consumer Defensive (10.7% vs media sector 4.5%),2026-04-14
TT,WATCH,0,Caro vs peers en Industrials (FCF rank 43/50) | Piotroski fuerte (9.0/9),2026-04-14
TTE.PA,BEST,5,Mejor FCF en Energy (8.9% vs media sector 6.7%),2026-04-14
TW,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
TYL,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
UBSG.SW,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
UBSI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ULVR.L,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Consumer Defensive (6.7% vs media sector 4.5%),2026-04-14
